,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
0,PS3,2012.0,Shooter,Capcom,0.0,0.0,0.05,0.0,0.05
1,X360,2013.0,Adventure,5pb,0.0,0.0,0.02,0.0,0.02
2,PS4,2016.0,Action,Deep Silver,0.0,0.01,0.0,0.0,0.02
3,PSP,2009.0,Role-Playing,Tecmo Koei,0.0,0.0,0.04,0.0,0.04
4,N64,1999.0,Shooter,Acclaim Entertainment,0.3,0.06,0.0,0.0,0.37
5,DS,2008.0,Role-Playing,Nobilis,0.08,0.0,0.01,0.01,0.09
6,DS,2007.0,Action,Kadokawa Shoten,0.0,0.0,0.07,0.0,0.07
7,3DS,2012.0,Action,Genki,0.0,0.0,0.05,0.0,0.05
8,PSV,2015.0,Sports,Sony Computer Entertainment,0.03,0.0,0.0,0.01,0.04
9,X360,2006.0,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11
10,PS2,2001.0,Action,Capcom,1.36,0.86,0.64,0.13,2.99
11,Wii,2007.0,Adventure,Nintendo,0.44,0.47,0.09,0.09,1.09
12,Wii,2007.0,Racing,Popcorn Arcade,0.04,0.0,0.0,0.0,0.04
13,SNES,1993.0,Action,Titus,0.0,0.0,0.07,0.0,0.07
14,PS,1996.0,Platform,Psygnosis,0.01,0.01,0.0,0.0,0.03
15,XB,2003.0,Racing,Vivendi Games,0.24,0.07,0.0,0.01,0.31
16,X360,2010.0,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34
17,DS,2009.0,Misc,Ubisoft,0.08,0.0,0.0,0.01,0.08
18,X360,2010.0,Misc,Deep Silver,0.0,0.08,0.0,0.01,0.09
19,PS2,2002.0,Adventure,Victor Interactive,0.0,0.0,0.02,0.0,0.02
20,PSP,2010.0,Adventure,Prototype,0.0,0.0,0.04,0.0,0.04
21,PS2,2000.0,Shooter,Midas Interactive Entertainment,0.14,0.11,0.0,0.04,0.29
22,X360,2012.0,Action,Activision,0.2,0.0,0.0,0.01,0.21
23,PS3,2013.0,Action,Ubisoft,0.34,0.41,0.06,0.18,0.98
24,PS2,2004.0,Misc,Namco Bandai Games,0.1,0.08,0.0,0.03,0.2
25,PS2,2008.0,Sports,Bethesda Softworks,0.07,0.06,0.0,0.02,0.15
26,SNES,1994.0,Role-Playing,Laguna,0.0,0.0,0.36,0.0,0.36
27,PS,1998.0,Puzzle,Atari,0.45,0.31,0.0,0.05,0.81
28,DS,2007.0,Puzzle,Nintendo,0.49,1.12,0.0,0.09,1.7
29,GC,2004.0,Simulation,Electronic Arts,0.24,0.14,0.0,0.02,0.4
30,PC,2009.0,Puzzle,Namco Bandai Games,0.0,0.01,0.0,0.0,0.01
31,PS3,2009.0,Misc,Sony Computer Entertainment,0.0,0.04,0.0,0.02,0.06
32,PC,2007.0,Shooter,Microsoft Game Studios,0.01,0.06,0.0,0.02,0.1
33,PS3,2010.0,Sports,Tradewest,0.0,0.03,0.0,0.01,0.04
34,WiiU,2015.0,Action,Activision,0.25,0.18,0.0,0.04,0.48
35,GBA,2002.0,Racing,THQ,0.05,0.02,0.0,0.0,0.08
36,PSP,2005.0,Strategy,Banpresto,0.0,0.0,0.09,0.0,0.09
37,PS3,2007.0,Sports,Electronic Arts,0.35,1.07,0.02,0.32,1.76
38,DS,2011.0,Shooter,Deep Silver,0.04,0.0,0.0,0.0,0.04
39,GBA,2001.0,Racing,Nintendo,0.39,0.16,0.37,0.12,1.04
40,PS,2000.0,Fighting,BAM! Entertainment,0.06,0.04,0.0,0.01,0.11
41,PS,1996.0,Adventure,ASCII Entertainment,0.07,0.05,0.38,0.03,0.53
42,PS,1998.0,Racing,GT Interactive,0.21,0.14,0.0,0.02,0.38
43,PSP,2009.0,Fighting,Namco Bandai Games,0.0,0.0,0.23,0.0,0.23
44,N64,1998.0,Racing,Ocean,0.08,0.02,0.0,0.0,0.1
45,3DS,2013.0,Role-Playing,Nintendo,0.89,0.57,0.46,0.13,2.06
46,Wii,2007.0,Simulation,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11
47,PS2,2004.0,Fighting,Ignition Entertainment,0.13,0.1,0.0,0.03,0.26
48,DC,2008.0,Adventure,NEC Interchannel,0.0,0.0,0.04,0.0,0.04
49,PS4,2016.0,Shooter,Sony Computer Entertainment,1.3,2.07,0.18,0.65,4.2
50,PS2,2006.0,Adventure,Konami Digital Entertainment,0.0,0.0,0.05,0.0,0.05
51,PS3,2013.0,Action,Namco Bandai Games,0.1,0.11,0.0,0.05,0.26
52,PS2,2004.0,Strategy,Tecmo Koei,0.04,0.03,0.0,0.01,0.07
53,Wii,2009.0,Sports,Mastiff,0.41,0.0,0.0,0.03,0.44
54,PS2,2007.0,Simulation,Sega,0.0,0.0,0.06,0.0,0.06
55,PC,2012.0,Action,Ubisoft,0.28,0.53,0.0,0.13,0.94
56,PSV,2013.0,Adventure,Square Enix,0.14,0.0,0.01,0.03,0.18
57,PS,1996.0,Adventure,Pioneer LDC,0.0,0.0,0.2,0.01,0.21
58,DS,2009.0,Misc,DreamCatcher Interactive,0.1,0.0,0.0,0.01,0.1
59,DS,2010.0,Adventure,Disney Interactive Studios,0.18,0.14,0.0,0.03,0.35
60,PS4,2016.0,Action,Warner Bros. Interactive Entertainment,0.14,0.32,0.0,0.08,0.54
61,3DS,2015.0,Adventure,WayForward Technologies,0.05,0.0,0.0,0.01,0.05
62,DS,2011.0,Role-Playing,Square Enix,0.0,0.0,0.62,0.0,0.62
63,DS,2005.0,Misc,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04
64,PC,2009.0,Role-Playing,Deep Silver,0.0,0.11,0.0,0.03,0.14
65,WiiU,2013.0,Strategy,Activision,0.06,0.04,0.0,0.01,0.11
66,PSP,2009.0,Sports,Electronic Arts,0.15,0.68,0.01,0.32,1.16
